period,dY,dC,dI,dw,l,pi,rpi=dlog(Pi/CPI),r,gap,rl,dn,dLoan
1995.03,0.83049182,0.485372119,-0.441557384,0.376899018,164.5488757,0.053823558,-0.422488286,0.20016,-1.65681029,0.926637024,-0.786844286,0.66136629
1995.04,-0.403362337,0.384278004,-0.540821095,-0.311447989,165.0908399,0.070870386,-0.163249922,0.1155175,-1.126359088,0.739553553,-0.967068448,0.767219994
1996.01,0.391112529,0.354859113,-4.812605093,0.916930346,164.5452068,0.022728581,-0.671778639,0.114985,-1.04944089,0.677356495,-0.520670999,0.942427598
1996.02,0.737791597,0.661221016,4.531433496,0.273057196,164.4176736,0.017769566,-0.764738283,0.118815,-1.031102031,0.665261977,-0.245351713,1.039327216
1996.03,-0.284278972,-0.335105876,3.478417123,0.315086786,164.4698841,0.122076701,-0.685990361,0.11618,-0.460871307,0.662687973,0.255179095,1.021761973
1996.04,0.951284298,0.963800934,1.294138694,0.066951265,164.7460651,0.112101322,-0.112100567,0.1198325,-0.376276562,0.652672348,0.972916278,0.894231851
1997.01,0.205941583,1.444891022,2.892748828,0.235514492,164.6839023,0.209366602,-0.209364609,0.1241225,0.202375536,0.636400447,1.796802271,0.675058734
1997.02,0.127739379,-2.606722282,0.259897004,0.617473775,164.3276256,0.263540491,-0.263541244,0.123175,-0.05759939,0.630207381,2.436995262,0.534174353
1997.03,-1.21433655,0.591201409,0.226548689,0.009401457,163.9990284,0.220513105,-0.787624818,0.1229575,-0.023852303,0.620755683,2.809263036,0.483655293
1997.04,0.260840605,-0.576035157,0.510393135,-0.385074136,164.1238849,0.197185117,-0.102442003,0.1137825,-0.92455391,0.597186789,2.934236922,0.521533418
1998.01,-2.080510534,-0.807249647,-3.915010293,0.523435841,163.6316667,-0.193908219,-0.280697478,0.10832,-1.368126393,0.603587104,2.469892107,0.612290982
1998.02,-0.569924863,-0.401524089,-1.519859599,0.060244286,163.6135044,-0.138599684,-0.242720026,0.1090025,-1.936155406,0.584447764,2.197033864,0.643933285
1998.03,-0.005702352,0.869400002,-3.271070456,-0.065463348,163.5924189,-0.137760504,-0.149189012,0.0968175,-2.28774762,0.573236884,1.743881892,0.584632471
1998.04,0.164258144,0.288993133,-6.328284885,-0.177351109,163.7163068,0.149510045,-1.015302288,0.0573325,-2.631677865,0.535518236,1.118853247,0.436424877
