103.5,214.89,0,8.1437,-3.546,10.264,-0.50037,-28.38,-1.8083,-8.723,-10.417,5.7789,-16.418,0,4.0009,54.526,-8.615,371.49,2.4428,527.77,93.887,-7.1541,21.934,6.7441,-8.8885,1.4252,-1.6802,-34.223,0,-37.076,0,-8.4473,0,0,0,0,0,0,-1.425
214.89,895.97,-2.3337,29.837,-22.32,-14.231,-6.6944,-103.86,-11.281,-25.945,-44.72,15.436,157.23,-4.634,3.6739,172.15,-58.008,782.26,3.5415,1513,-319.15,-11.656,28.803,16.578,121.16,-187.14,-40.404,-13.952,36.797,-91.227,0,-15.352,0,0,0,-3.1117,0,0,-5.3136
0,-2.3337,1.9299,-1.4258,-0.69403,0.63213,-0.21544,19.391,0.12336,0,0.72287,-0.65863,-5.9269,0,0.5575,-1.3373,-0.77176,15.555,0,6.5396,1.6763,9.593,31.469,-0.23662,0.72223,0.90063,-0.11858,-8.2302,-0.68245,-0.1665,0,8.6494,-0.33653,0,0,0.078452,0,-0.72462,0
8.1437,29.837,-1.4258,237.07,18.193,57.358,0,-88.379,-7.1519,-70.762,-38.125,8.0335,166.74,4.3935,3.9078,-118.23,-61.844,-161.4,0,17.301,-59.541,-29.315,16.677,-6.6283,76.449,-56.705,-4.7813,-202.13,13.755,-2.2518,-3.1822,-27.828,-3.5361,-11.496,0,-24.807,-8.5461,-121.72,-25.611
-3.546,-22.32,-0.69403,18.193,54.883,16.085,1.0669,1.9264,-2.8623,-27.675,1.9637,0.52737,2.5602,-4.1753,-4.3787,-26.51,0,-13.949,-1.6332,-39.365,0,-2.6438,-67.469,1.9976,44.083,7.1826,11.926,115.93,-23.897,0.67447,-3.4627,-4.8637,-3.5944,4.0269,0,-7.3807,0,44.742,-2.7756
10.264,-14.231,0.63213,57.358,16.085,219.73,-0.63548,10.979,-6.5535,-124.22,0,0,0,3.8035,4.18,-76.172,27.228,-14.773,0,95.701,126.98,1.8498,-58.466,1.0649,37.175,34.585,67.805,-33.328,-12.312,-3.0756,5.4336,8.8475,-26.967,31.537,0,-16.374,32.349,-6.7605,3.3032
-0.50037,-6.6944,-0.21544,0,1.0669,-0.63548,47.676,-13.195,0.38672,14.992,-1.3545,-0.73709,-5.8219,2.0021,1.0238,7.6427,-4.7301,41.205,0,0,3.4638,-9.2856,-58.16,0,5.4654,2.9647,1.4854,3.483,1.0043,0,0,-21.443,2.7563,0,0,0,0,0,0
-28.38,-103.86,19.391,-88.379,1.9264,10.979,-13.195,668.95,-15.838,-49.718,31.504,-14.946,31.439,5.9461,8.5007,-33.794,-18.039,344.09,0,65.389,63.758,245.45,330.31,0,19.545,19.807,25.297,-206.33,-26.82,2.9348,0,302.69,-3.8417,1.6414,0,5.25,0,-6.5879,0
-1.8083,-11.281,0.12336,-7.1519,-2.8623,-6.5535,0.38672,-15.838,111.01,-10.04,0,5.0512,-44.71,0,0,0,-7.6446,-20.802,0,-12.562,6.1191,0,14.544,-1.0623,-8.4463,0,-1.0171,-9.9064,1.5724,0.53948,0,-5.1016,-26.69,0,0,1.0127,0,-4.1668,-1.5298
-8.723,-25.945,0,-70.762,-27.675,-124.22,14.992,-49.718,-10.04,3319,-8.4671,10.631,-103.87,0,0,0,0,-57.175,0,-52.63,0,21.981,569.11,-4.3529,-65.219,-97.141,-67.523,0,13.569,1.6305,0,-23.96,963.97,0,0,4.8877,0,-16.341,0
